Name of Restaurant,Features/Category,Market Segment,Cuisine,Top Dishes,Address,Area/Location,Latitude,Longitude,Zomato URL,Dining Rating
Rasavid,"Home Delivery, Indoor Seating, Buffet",Restaurant,"Andhra,  Hyderabadi","Naan,  Biryani,  Bbq Fish,  Tomato Soup,  Carrot Halwa,  Gajar Ka Halwa,  Prawn"," 55 C, Velachery By-Pass Road, Sankaran Avenue, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/rasavid-1-velachery,3.9
Buhari,"Home Delivery, Indoor Seating, Catering Available",Restaurant,"Biryani,  Arabian,  North Indian,  Chinese,  Desserts,  Beverages","Biryani,  Chicken 65,  Sea Food,  Tea,  Sweet Corn Chicken Soup,  Veg Steak,  Fish Finger"," Near Vetri Theatre, Chromepet, Chennai",Chromepet,12.9516,80.1462,https://www.zomato.com/chennai/buhari-chromepet,3.5
Dominos Pizza,"Home Delivery, Indoor Seating, Catering Available, Free Parking",Fast Food,"Pizza,  Fast Food","Mexican Tacos,  Peppy Paneer,  Farmhouse Pizza,  Garlic Bread,  Lava Cake,  Cheesy Pizza"," 2, Ground Floor, Valavan Nagar, Kolathur, Chennai",Kolathur,13.124,80.2121,https://www.zomato.com/chennai/dominos-pizza-kolathur,4
Shree Mithai,"Breakfast, Home Delivery, Vegetarian Only, Free Parking, Catering Available, Indoor Seating, Serves Jain Food, Desserts and Bakes",Fast Food,"Mithai,  Street Food,  Fast Food","Chaat,  Badam Milk,  Pav Bhaji,  Panipuri,  Rasmalai,  Sandwich,  Chole Bhature"," 18, Dr TV Road, Chetpet, Chennai",Chetpet,13.0714,80.2417,https://www.zomato.com/chennai/shree-mithai-chetpet,4.6
New Andhra Meals Hotel,"Home Delivery, Indoor Seating, Table booking recommended",Hotel,"Andhra,  Chinese,  South Indian,  North Indian,  Biryani","Paruppu Podi,  Gongura Chicken,  Panneer Butter Masala,  Thali,  Andhra Chilli Chicken,  Fish Fry,  Ghee Rice"," 6, Arcot Road, Valasaravakkam, Chennai",Valasaravakkam,13.0403,80.1723,https://www.zomato.com/chennai/new-andhra-meals-hotel-valasaravakkam,3.9
Punjabi Nation,"Home Delivery, Indoor Seating",Restaurant,"North Indian,  Chinese","Lassi,  Roti,  Naan,  Butter Chicken,  Paratha,  Rabri,  Dal Makhani"," 15, GST Road, Guindy, Chennai",Guindy,13.0067,80.2206,https://www.zomato.com/chennai/punjabi-nation-guindy,4
Krishnas Dosa Kadai,"Breakfast, Home Delivery, Vegetarian Only, Free Parking, Indoor Seating",Restaurant,"South Indian,  North Indian,  Andhra,  Chinese","Pizza Dosa,  Butter Naan,  Coffee,  Chocolate Dosa,  Paratha,  Paneer Dosa,  Panneer Butter Masala"," 40, Nolambur, Phase - 1, Mogappair, Chennai",Mogappair,13.0837,80.175,https://www.zomato.com/chennai/krishnas-dosa-kadai-mogappair,4.2
Al Sham,"Home Delivery, Table booking recommended, Indoor Seating",Restaurant,"Chinese,  North Indian,  Kerala","Biryani,  Chicken Grill,  Tandoori Chicken"," 1, Pillayar Koil Street, Near SRM University, Potheri, Kanchipuram District, Chennai",Potheri,12.8213,80.0371,https://www.zomato.com/chennai/al-sham-1-potheri,3.9
Orange Wok,"Home Delivery, Free Parking, Indoor Seating, Outdoor Seating, Smoking Area",Restaurant,"Malaysian,  Asian,  Chinese","Laksa,  Dragon Chicken,  Khau Suey,  Momos,  Bubble Tea,  Chicken Satay,  Lamb"," 11, 1st Floor, Khader Nawaz Khan Road, Nungambakkam, Chennai",Nungambakkam,13.0569,80.2425,https://www.zomato.com/chennai/orange-wok-nungambakkam,4.2
Ghuma Ghumalu,"Home Delivery, Indoor Seating, Table reservation required",Restaurant,"Chinese,  South Indian,  Biryani,  Andhra","Hyderabadi Biryani,  Chicken 65,  Chicken Mughlai Biryani,  Andhra Meal,  Andhra Style Biryani,  Prawn Biryani,  Mutton Biryani"," 1/398, Rajiv Gandhi Salai, OMR, Navalur, Chennai",Navallur,12.8459,80.2265,https://www.zomato.com/chennai/ghuma-ghumalu-navallur,4.2
KPS Ambur Biriyani,"Home Delivery, Indoor Seating",Restaurant,Biryani,"Tandoori Chicken,  Fried Rice Chicken,  Biryani,  Shawarma"," 6/20, Venugopal Street, Mogappair, Chennai",Mogappair,13.0837,80.175,https://www.zomato.com/chennai/kps-ambur-biriyani-mogappair,3.6
Pedrenos,"Home Delivery, Desserts and Bakes, Live Sports Screening, Indoor Seating, Table booking recommended, Valet Parking Available",Fast Food,"Pizza,  American,  Italian","Pizza,  Gelato,  Pasta,  Coffee,  Steak,  Tiramisu,  Burgers"," 113/114, PS Sivaswami Salai, Mylapore, Chennai",Mylapore,13.0368,80.2676,https://www.zomato.com/chennai/pedrenos-mylapore,4.3
Madras Biryani,"Home Delivery, Indoor Seating, Table Reservation Not Required",Restaurant,"Biryani,  Mughlai,  Fast Food,  South Indian","Egg Biryani,  Chicken 65,  Prawn,  Fried Rice Chicken"," 105, EH Road, Sharma Nagar, Vyasarpadi, Perambur, Chennai",Perambur,13.121,80.2326,https://www.zomato.com/chennai/madras-biryani-perambur,4
Palmshore,"Home Delivery, Indoor Seating, Table booking for Groups, Available for Functions, Catering Available, Table booking recommended, Bulk Orders Accepted, Buffet",Restaurant,"North Indian,  Chinese,  Arabian,  BBQ,  Biryani,  Beverages","Mutton Mandi,  Fish,  Brownie,  Sea Food,  Biryani,  Bbq Chicken,  Barbeque Chicken"," 99/59, Pantheon Road, Opposite Museum, Egmore, Chennai",Egmore,13.0732,80.2609,https://www.zomato.com/chennai/palmshore-egmore,4.4
Hotel Sri Vairam,"Home Delivery, Indoor Seating, Free Parking, Catering Available",Hotel,"Biryani,  South Indian,  Chinese,  North Indian","Paratha,  Biryani,  Mutton Chukka,  Chicken 65"," 5/24, Karambakkam, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/hotel-sri-vairam-1-porur,4
Sea Emperor,"Home Delivery, Indoor Seating, Catering Available",Restaurant,"Chinese,  Arabian,  North Indian,  Seafood","Chicken Grill,  Shawarma,  Bbq Chicken,  Naan,  Barbeque Chicken,  Dragon Chicken,  Noodle"," 11,12 & 13, Velachery Main Road, Ram Nagar, Madipakkam, Chennai",Madipakkam,12.9647,80.1961,https://www.zomato.com/chennai/sea-emperor-madipakkam,3.8
Andhikkadai,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating",Restaurant,South Indian,"Coffee,  Sweet Kozhukattai,  Idli,  Pongal,  Kothu Parotta,  Appam,  Badam Milk"," 20, Dhandeeswaram Main Road, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/andhikkadai-velachery,4.6
Paradise Biryani,"Home Delivery, Free Parking, Indoor Seating",Restaurant,"Biryani,  North Indian,  Kebab,  Rolls","Hyderabadi Biryani,  Mutton Biryani,  Chicken Biryani,  Shawarma,  Gulab Jamun,  Vegetable Biryani,  Chicken Tikka"," 72, Block 14, Dr. Muthulakshmi Salai, LB Road, Thiruvanmiyur, Chennai",Thiruvanmiyur,12.983,80.2594,https://www.zomato.com/chennai/paradise-biryani-thiruvanmiyur,4.2
A2B - Adyar Ananda Bhavan,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, Desserts and Bakes, Catering Available, All Day Breakfast",Restaurant,"South Indian,  North Indian,  Chinese,  Fast Food,  Mithai","Pav Bhaji,  Chaat,  Pongal,  Dahipuri,  Rasmalai,  Filtered Coffee,  Ghee Roast Dosa"," No. 37F, Velachery Main Road, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-velachery,3.6
Copper Kitchen,"Home Delivery, Lunch Menu, Valet Parking Available, Bulk Orders Accepted, Sports TV, Indoor Seating, Table booking recommended, Available for Functions, Catering Available, Wifi, Buffet",Restaurant,"North Indian,  Chinese,  Chettinad,  Seafood","Biryani,  Fish,  Bbq Chicken,  Banana Split,  Brownie,  Dynamite Chicken,  Barbeque Chicken"," 5, Arunachalam Road, Opposite Prasad Studio, Saligramam, Chennai",Saligramam,13.0545,80.2011,https://www.zomato.com/chennai/copper-kitchen-saligramam,4.2
Fazari,"Home Delivery, Indoor Seating, Table booking recommended, Valet Parking Available",Restaurant,Arabian,"Shawarma,  Faluda,  Brownie,  Chicken Grill,  Fried Rice,  Chicken Tikka Roll,  Fish Finger"," 15, CLC Works Road, Near Balaji Medical College, Chromepet, Chennai",Chromepet,12.9516,80.1462,https://www.zomato.com/chennai/fazari-chromepet,4.2
Guntur Gongura,"Breakfast, Home Delivery, Indoor Seating, Table booking recommended",Restaurant,"Biryani,  Andhra,  North Indian,  Chinese","Chicken Biryani,  Vegetable Biryani,  Hyderabadi Biryani,  Fish Curry"," 293/A, IT Express Way, Beside Swensens Building, Sholinganallur Signal, Sholinganallur, Chennai",Sholinganallur,12.901,80.2279,https://www.zomato.com/chennai/guntur-gongura-sholinganallur,4.1
Andhra Ruchulu,"Home Delivery, Indoor Seating",Restaurant,"Biryani,  Andhra,  North Indian,  Chinese,  South Indian","Dragon Chicken,  Lollipop Biryani"," Shop 2, 28/B, Mount Poonamalee Road, Opposite DLF, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/andhra-ruchulu-porur,4.1
Brownie Heaven,"Home Delivery, Indoor Seating, Desserts and Bakes",Restaurant,"Bakery,  Desserts,  Beverages","Vanilla Ice Cream,  Brownie Shake,  Filtered Coffee,  Mint Ice Cream,  Brownie Chocolate,  Filter Coffee Soda,  Cheesecake"," 193, Peters Road, Opposite New College, Royapettah, Chennai",Royapettah,13.054,80.2641,https://www.zomato.com/chennai/brownie-heaven-royapettah,4.9
Hotel Junior Kuppanna,"Home Delivery, Indoor Seating",Hotel,"South Indian,  Chinese,  Kerala,  Tamil","Paratha,  Pallipalayam Chicken,  Mutton Biryani,  Fish Fry,  Mutton Sukha,  Brain Fry,  Kothu Parotta"," 4, Kannaiya Street, North Usman Road, Near Reliance Fresh, T. Nagar, Chennai",T. Nagar,13.0418,80.2341,https://www.zomato.com/chennai/hotel-junior-kuppanna-t-nagar,4.3
Mezze,"Home Delivery, Indoor Seating",Restaurant,Middle Eastern,"Baklava,  Mezze,  Shawarma,  Pita Bread,  Fries,  Falafel,  Chicken Shawarama"," Abhinav Center, Old Number 19, New Number 4, Co-operative Colony, Off Chamiers Road, Alwarpet, Chennai",Alwarpet,13.0335,80.2531,https://www.zomato.com/chennai/mezze-alwarpet,4.7
Pantry dor,"Home Delivery, Valet Parking Available, Table reservation required, Wifi, Smoking Area, Desserts and Bakes, Indoor Seating, Bulk Orders Accepted, Outdoor Seating, All Day Breakfast",Restaurant,"Continental,  American,  Italian,  Desserts,  Beverages","Pizza,  Pasta,  Hot Chocolate,  Pancakes,  Sandwich,  Burgers,  Cheesecake"," 21/11, J Block, 6th Avenue Main Road, Anna Nagar East, Chennai",Anna Nagar East,13.092,80.2236,https://www.zomato.com/chennai/pantry-dor-anna-nagar-east,4.4
Maggevala - Curly Cravings,"Home Delivery, Vegetarian Only, Free Parking, Indoor Seating",Fast Food,"Fast Food,  Street Food,  Beverages","Peri Peri Fries,  Waffles,  Kit Kat Shake,  Ferrero Rocher Shake,  Pasta,  Veg Maggi,  Oreo Shake"," 62C, Ormes Road, Kilpauk, Chennai",Kilpauk,13.0828,80.2417,https://www.zomato.com/chennai/maggevala-curly-cravings-kilpauk,4
Amadora Gourmet Ice Cream & Sorbet,"Home Delivery, Outdoor Seating, Desserts and Bakes",Restaurant,"Desserts,  Ice Cream","Sandwich,  Gelato,  Chocolate Icecreams,  Watermelon Sorbet,  Chocolate Brownie Ice Cream,  Mango Sorbet,  Hail Mary"," 23, Wallace Garden, 3rd Street, Nungambakkam, Chennai",Nungambakkam,13.0569,80.2425,https://www.zomato.com/chennai/amadora-gourmet-ice-cream-sorbet-nungambakkam,4.8
Eatza Pizza,"Home Delivery, Free Parking, Indoor Seating, Buffet",Fast Food,"Pizza,  Fast Food","Salad,  Garlic Bread,  Pasta,  Brownie,  Chicken Keema Pizza,  Tomato Soup,  Margarita"," 7, Jaganathan Road, Opposite Vijay TV Office, Nungambakkam, Chennai",Nungambakkam,13.0569,80.2425,https://www.zomato.com/chennai/eatza-pizza-nungambakkam,3.7
Samco,"Home Delivery, Valet Parking Available, Table booking recommended, Indoor Seating, Buffet",Restaurant,"Arabian,  Chinese,  North Indian,  Seafood","Biryani,  Bbq Chicken,  Faluda,  Pepper Chicken,  Shawarma,  Chicken Grill,  Fish Finger"," 21/33, Velachery Main Road, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/samco-velachery,4.3
Sree Akshayam,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating",Restaurant,"South Indian,  North Indian,  Chinese,  Chettinad,  Kebab","Paratha,  Paneer Tikka,  Naan,  Pongal,  Filtered Coffee,  Vada Curry,  Panneer Butter Masala"," AJ 6, 4th Avenue, Shanthi Colony, Anna Nagar East, Chennai",Anna Nagar East,13.092,80.2236,https://www.zomato.com/chennai/sree-akshayam-anna-nagar-east,4.3
Biriyani Palace,"Home Delivery, Free Parking, Indoor Seating",Hotel,"North Indian,  Chinese,  Biryani,  Kebab","Biryani,  Tandoori Chicken,  Bbq Chicken"," 116, Bazar Road, Kundrathur, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/biriyani-palace-porur,4
Pumpkin Tales,"Breakfast, Home Delivery, Indoor Seating, Available for Functions, Desserts and Bakes, Table booking recommended",Restaurant,"Singaporean,  American,  European,  Continental,  Bakery","Pumpkin Soup,  Bibimbap,  Noodle,  Cheesecake,  Hot Chocolate,  Pasta,  Tiramisu"," 37/20, Bheemanna Garden Street, Alwarpet, Chennai",Alwarpet,13.0335,80.2531,https://www.zomato.com/chennai/pumpkin-tales-alwarpet,4.5
