省份,城市,日期,地区,白天天气,白天风力,白天气温,夜间天气,夜间风力,夜间气温
安徽,滁州,周日(11月2日),hd,晴,东北风3-4级,19,晴,东北风3-4级,6
安徽,淮北,周日(11月2日),hd,晴,东北风<3级,18,晴,东风3-4级,6
安徽,铜陵,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,11
安徽,宣城,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,9
安徽,六安,周日(11月2日),hd,晴,东北风3-4级,20,晴,东风3-4级,9
安徽,池州,周日(11月2日),hd,晴,东北风3-4级,22,多云,东北风3-4级,9
江苏,南京,周日(11月2日),hd,多云,北风4-5级,20,多云,东北风3-4级,8
江苏,无锡,周日(11月2日),hd,多云,北风<3级,21,阴,东北风<3级,9
江苏,镇江,周日(11月2日),hd,阴,北风<3级,20,多云,东北风<3级,7
江苏,苏州,周日(11月2日),hd,多云,东北风<3级,20,多云,北风<3级,9
江苏,南通,周日(11月2日),hd,多云,北风3-4级,19,多云,西北风<3级,7
江苏,扬州,周日(11月2日),hd,多云,北风<3级,20,多云,东北风<3级,8
江苏,盐城,周日(11月2日),hd,晴,北风<3级,16,晴,北风<3级,6
江苏,徐州,周日(11月2日),hd,晴,东北风<3级,16,晴,东风<3级,5
江苏,淮安,周日(11月2日),hd,晴,东北风<3级,16,晴,东北风<3级,6
江苏,连云港,周日(11月2日),hd,晴,东北风<3级,13,晴,北风<3级,6
江苏,常州,周日(11月2日),hd,多云,北风<3级,20,多云,东北风<3级,8
江苏,泰州,周日(11月2日),hd,多云,北风<3级,19,多云,北风<3级,6
江苏,宿迁,周日(11月2日),hd,晴,东北风<3级,16,晴,东北风<3级,6
山东,济南,周日(11月2日),hd,晴,东北风<3级,13,晴,东南风<3级,5
山东,青岛,周日(11月2日),hd,晴,北风3-4级,14,晴,北风3-4级,7
山东,淄博,周日(11月2日),hd,晴,东北风<3级,13,晴,东南风<3级,0
山东,德州,周日(11月2日),hd,晴,东北风<3级,13,晴,东南风<3级,2
山东,烟台,周日(11月2日),hd,多云,北风4-5级,10,晴,北风4-5级,6
山东,潍坊,周日(11月2日),hd,晴,北风<3级,13,晴,南风<3级,2
山东,济宁,周日(11月2日),hd,晴,东北风<3级,16,晴,东南风<3级,5
山东,泰安,周日(11月2日),hd,晴,东北风<3级,15,晴,东风<3级,3
山东,临沂,周日(11月2日),hd,晴,东北风<3级,14,晴,东北风<3级,3
山东,菏泽,周日(11月2日),hd,晴,东北风<3级,16,晴,东南风<3级,6
山东,滨州,周日(11月2日),hd,晴,北风<3级,13,晴,东南风<3级,2
山东,东营,周日(11月2日),hd,晴,北风<3级,12,晴,南风<3级,3
山东,威海,周日(11月2日),hd,晴,北风4-5级,8,晴,北风4-5级,6
山东,枣庄,周日(11月2日),hd,晴,东北风<3级,18,晴,东风<3级,4
山东,日照,周日(11月2日),hd,晴,北风<3级,13,晴,北风<3级,6
山东,莱芜,周日(11月2日),hd,晴,北风<3级,12,晴,东风<3级,2
山东,聊城,周日(11月2日),hd,晴,东北风<3级,14,晴,东南风<3级,4
浙江,杭州,周日(11月2日),hd,多云,北风<3级,22,多云,北风<3级,12
浙江,湖州,周日(11月2日),hd,多云,北风<3级,22,多云,东北风<3级,11
浙江,嘉兴,周日(11月2日),hd,多云,北风<3级,21,多云,东北风<3级,11
浙江,宁波,周日(11月2日),hd,多云,北风<3级,22,多云,北风<3级,12
浙江,绍兴,周日(11月2日),hd,多云,北风<3级,22,多云,东北风<3级,12
浙江,台州,周日(11月2日),hd,多云,东北风<3级,23,晴,西北风<3级,13
浙江,温州,周日(11月2日),hd,多云,东风<3级,24,多云,东北风<3级,14
浙江,丽水,周日(11月2日),hd,多云,北风<3级,22,多云,北风<3级,12
浙江,金华,周日(11月2日),hd,多云,东北风<3级,23,多云,东北风<3级,12
浙江,衢州,周日(11月2日),hd,晴,东北风<3级,23,多云,东北风<3级,13
浙江,舟山,周日(11月2日),hd,晴,北风<3级,21,晴,北风<3级,13
福建,福州,周日(11月2日),hd,阴,东风<3级,25,阴,北风3-4级,18
福建,厦门,周日(11月2日),hd,多云,东北风3-4级,26,多云,东北风4-5级,20
福建,宁德,周日(11月2日),hd,小雨,东风<3级,24,多云,东北风<3级,17
福建,莆田,周日(11月2日),hd,多云,东北风<3级,24,阴,北风3-4级,19
福建,泉州,周日(11月2日),hd,多云,东北风3-4级,25,阴,北风4-5级,19
福建,漳州,周日(11月2日),hd,多云,东风<3级,27,多云,东风<3级,20
福建,龙岩,周日(11月2日),hd,多云,北风<3级,25,阴,东北风<3级,18
福建,三明,周日(11月2日),hd,阴,北风<3级,23,小雨,东北风<3级,17
福建,南平,周日(11月2日),hd,阴,北风<3级,23,阴,东北风<3级,16
福建,钓鱼岛,周日(11月2日),hd,阴,东北风4-5级,25,阴,东北风4-5级,23
江西,南昌,周日(11月2日),hd,多云,东北风<3级,22,多云,东北风<3级,15
江西,九江,周日(11月2日),hd,多云,东北风<3级,23,多云,东北风<3级,12
江西,上饶,周日(11月2日),hd,多云,东北风<3级,22,多云,东北风<3级,15
江西,抚州,周日(11月2日),hd,多云,北风<3级,22,多云,东北风<3级,14
江西,宜春,周日(11月2日),hd,多云,北风<3级,21,小雨,东北风<3级,13
江西,吉安,周日(11月2日),hd,阴,北风<3级,19,小雨,北风<3级,14
江西,赣州,周日(11月2日),hd,阴,北风<3级,22,阴,北风<3级,16
江西,景德镇,周日(11月2日),hd,多云,东北风<3级,24,多云,东北风<3级,14
江西,萍乡,周日(11月2日),hd,小雨,西风<3级,18,小雨,东北风<3级,13
江西,新余,周日(11月2日),hd,阴,北风<3级,19,小雨,东北风<3级,13
江西,鹰潭,周日(11月2日),hd,阴,东北风<3级,22,多云,东风<3级,15
湖北,武汉,周日(11月2日),hz,阴,东北风<3级,23,阴,东风<3级,9
湖北,襄阳,周日(11月2日),hz,阴,北风<3级,19,阴,西北风<3级,9
湖北,鄂州,周日(11月2日),hz,阴,南风<3级,24,阴,东风<3级,13
湖北,孝感,周日(11月2日),hz,阴,东风<3级,24,阴,东风<3级,10
湖北,黄冈,周日(11月2日),hz,阴,东北风<3级,24,阴,东风<3级,11
湖北,黄石,周日(11月2日),hz,阴,东风<3级,25,阴,东风<3级,12
湖北,咸宁,周日(11月2日),hz,阴,北风<3级,23,阴,东风<3级,13
湖北,荆州,周日(11月2日),hz,阴,东北风<3级,22,阴,东北风<3级,12
湖北,宜昌,周日(11月2日),hz,阴,东南风<3级,22,阴,西北风<3级,12
湖北,恩施,周日(11月2日),hz,阴,东南风<3级,23,阴,北风<3级,13
湖北,十堰,周日(11月2日),hz,阴,东风<3级,20,阴,东风<3级,8
湖北,神农架,周日(11月2日),hz,阴,东风<3级,19,阴,南风<3级,6
湖北,随州,周日(11月2日),hz,阴,东风<3级,23,阴,北风<3级,6
湖北,荆门,周日(11月2日),hz,阴,北风<3级,21,阴,北风<3级,12
湖北,天门,周日(11月2日),hz,阴,东风<3级,23,阴,东北风<3级,11
湖北,仙桃,周日(11月2日),hz,阴,东风<3级,23,阴,东北风<3级,12
湖北,潜江,周日(11月2日),hz,阴,东风<3级,23,阴,东北风<3级,12
湖南,长沙,周日(11月2日),hz,阴,西南风<3级,18,小雨,西北风<3级,14
湖南,湘潭,周日(11月2日),hz,小雨,西风<3级,17,小雨,西北风<3级,14
湖南,株洲,周日(11月2日),hz,小雨,西风<3级,18,小雨,北风<3级,14
湖南,衡阳,周日(11月2日),hz,小雨,北风<3级,16,小雨,西北风<3级,13
湖南,郴州,周日(11月2日),hz,小雨,北风<3级,17,小雨,北风<3级,14
湖南,常德,周日(11月2日),hz,阴,南风<3级,20,小雨,北风<3级,15
湖南,益阳,周日(11月2日),hz,阴,西北风<3级,19,小雨,西北风<3级,15
湖南,娄底,周日(11月2日),hz,小雨,西北风<3级,16,中雨,西风<3级,13
湖南,邵阳,周日(11月2日),hz,小雨,北风<3级,16,小雨,西北风<3级,13
湖南,岳阳,周日(11月2日),hz,阴,西北风<3级,20,阴,东北风<3级,14
湖南,张家界,周日(11月2日),hz,阴,东南风<3级,21,阴,东北风<3级,14
湖南,怀化,周日(11月2日),hz,小雨,北风<3级,16,中雨,北风<3级,12
湖南,永州,周日(11月2日),hz,小雨,东北风<3级,16,小雨,北风<3级,14
湖南,湘西,周日(11月2日),hz,小雨,南风<3级,17,小雨,西风<3级,12
河南,郑州,周日(11月2日),hz,多云,东北风<3级,16,多云,东南风<3级,7
河南,安阳,周日(11月2日),hz,晴,东风<3级,13,晴,西南风<3级,4
河南,新乡,周日(11月2日),hz,多云,东北风3-4级,16,晴,东风<3级,4
河南,许昌,周日(11月2日),hz,多云,东北风<3级,17,多云,东风<3级,5
河南,平顶山,周日(11月2日),hz,多云,东北风<3级,17,多云,东北风<3级,6
河南,信阳,周日(11月2日),hz,阴,东北风<3级,19,阴,北风<3级,8
河南,南阳,周日(11月2日),hz,阴,东北风3-4级,17,阴,东北风<3级,9
河南,开封,周日(11月2日),hz,多云,东北风<3级,15,多云,东南风<3级,7
河南,洛阳,周日(11月2日),hz,多云,东风<3级,15,多云,东北风<3级,6
河南,商丘,周日(11月2日),hz,晴,东北风<3级,15,晴,东风<3级,6
河南,焦作,周日(11月2日),hz,阴,东风<3级,15,晴,东北风<3级,8
河南,鹤壁,周日(11月2日),hz,多云,东北风<3级,16,多云,南风<3级,5
河南,濮阳,周日(11月2日),hz,晴,东北风<3级,13,多云,南风<3级,4
河南,周口,周日(11月2日),hz,多云,东北风<3级,18,阴,东南风<3级,7
河南,漯河,周日(11月2日),hz,阴,东北风<3级,18,阴,东风<3级,7
河南,驻马店,周日(11月2日),hz,阴,东北风<3级,18,阴,东北风<3级,7
河南,三门峡,周日(11月2日),hz,多云,东风<3级,16,多云,东风<3级,6
河南,济源,周日(11月2日),hz,阴,东风<3级,16,多云,东风<3级,7
广西,南宁,周日(11月2日),hn,阴,北风<3级,21,小雨,东北风<3级,16
广西,崇左,周日(11月2日),hn,阴,东北风<3级,21,阴,北风<3级,17
广西,柳州,周日(11月2日),hn,小雨,北风<3级,20,小雨,北风<3级,16
广西,来宾,周日(11月2日),hn,阴,北风<3级,22,阴,北风<3级,16
广西,桂林,周日(11月2日),hn,小雨,东北风3-4级,19,小雨,东北风3-4级,14
广西,梧州,周日(11月2日),hn,阴,东北风<3级,25,阴,北风<3级,18
广西,贺州,周日(11月2日),hn,阴,西北风<3级,22,小雨,西北风3-4级,15
广西,贵港,周日(11月2日),hn,多云,北风<3级,23,阴,北风<3级,17
广西,玉林,周日(11月2日),hn,多云,东北风<3级,25,多云,北风<3级,18
广西,百色,周日(11月2日),hn,阴,东北风<3级,21,小雨,北风<3级,18
广西,钦州,周日(11月2日),hn,阴,北风3-4级,23,阴,北风3-4级,18
广西,河池,周日(11月2日),hn,阴,北风<3级,18,小雨,北风<3级,15
广西,北海,周日(11月2日),hn,多云,北风4-5级,26,阴,北风4-5级,19
广西,防城港,周日(11月2日),hn,多云,北风3-4级,25,阴,北风4-5级,17
广东,广州,周日(11月2日),hn,阴,东北风<3级,25,阴,北风<3级,18
广东,韶关,周日(11月2日),hn,多云,北风<3级,24,阴,北风<3级,16
广东,惠州,周日(11月2日),hn,阴,北风<3级,25,阴,北风<3级,19
广东,梅州,周日(11月2日),hn,阴,东北风<3级,26,阴,北风<3级,17
广东,汕头,周日(11月2日),hn,多云,东北风<3级,26,阴,东北风<3级,21
广东,深圳,周日(11月2日),hn,阴,东北风<3级,26,阴,东北风<3级,21
广东,珠海,周日(11月2日),hn,阴,东北风<3级,22,阴,东北风<3级,20
广东,佛山,周日(11月2日),hn,多云,东北风<3级,25,多云,东北风<3级,19
广东,肇庆,周日(11月2日),hn,阴,东北风<3级,21,阴,北风<3级,17
广东,湛江,周日(11月2日),hn,阴,东风<3级,22,阴,东北风<3级,20
广东,江门,周日(11月2日),hn,多云,东北风<3级,28,阴,东北风<3级,20
广东,河源,周日(11月2日),hn,阴,北风<3级,18,阴,北风<3级,16
广东,清远,周日(11月2日),hn,阴,北风<3级,23,阴,北风<3级,19
广东,云浮,周日(11月2日),hn,阴,东北风<3级,25,阴,东北风<3级,17
广东,潮州,周日(11月2日),hn,多云,东北风<3级,28,阴,东北风<3级,18
广东,东莞,周日(11月2日),hn,阴,东北风<3级,26,阴,东北风<3级,20
广东,中山,周日(11月2日),hn,阴,东北风<3级,26,阴,北风<3级,19
广东,阳江,周日(11月2日),hn,阴,北风<3级,28,阴,东北风<3级,21
广东,揭阳,周日(11月2日),hn,阴,东北风<3级,26,阴,东风<3级,19
广东,茂名,周日(11月2日),hn,阴,东北风<3级,28,阴,东北风<3级,20
广东,汕尾,周日(11月2日),hn,阴,东北风<3级,27,阴,东北风<3级,20
海南,海口,周日(11月2日),hn,多云,东北风3-4级,26,小雨,东北风3-4级,23
海南,三亚,周日(11月2日),hn,多云,东北风3-4级,29,中雨,东北风3-4级,23
海南,东方,周日(11月2日),hn,多云,东北风4-5级,29,小雨,东北风4-5级,23
海南,临高,周日(11月2日),hn,小雨,东北风3-4级,27,小雨,东北风3-4级,21
海南,澄迈,周日(11月2日),hn,小雨,东北风3-4级,27,小雨,东北风3-4级,21
海南,儋州,周日(11月2日),hn,小雨,东北风3-4级,26,小雨,东北风3-4级,19
海南,昌江,周日(11月2日),hn,小雨,东北风3-4级,27,小雨,东北风3-4级,22
海南,白沙,周日(11月2日),hn,小雨,东风<3级,24,中雨,东北风<3级,19
海南,琼中,周日(11月2日),hn,中雨,东北风<3级,23,暴雨,东北风<3级,20
海南,定安,周日(11月2日),hn,小雨,东北风3-4级,26,中雨,东北风3-4级,22
海南,屯昌,周日(11月2日),hn,中雨,东北风3-4级,25,大雨,东北风<3级,22
海南,琼海,周日(11月2日),hn,大雨,东北风3-4级,25,大雨,东北风3-4级,23
海南,文昌,周日(11月2日),hn,中雨,东北风3-4级,27,大雨,东北风3-4级,22
海南,保亭,周日(11月2日),hn,中雨,东北风<3级,28,大雨,东北风<3级,22
海南,万宁,周日(11月2日),hn,大雨,东北风3-4级,25,暴雨,东北风<3级,23
海南,陵水,周日(11月2日),hn,小雨,东北风3-4级,26,大雨,东北风<3级,23
海南,乐东,周日(11月2日),hn,多云,东北风<3级,28,小雨,北风<3级,23
海南,五指山,周日(11月2日),hn,小雨,东北风<3级,26,小雨,东北风<3级,21
海南,西沙,周日(11月2日),hn,雷阵雨,东风5-6级,28,雷阵雨,东风4-5级,26
海南,中沙,周日(11月2日),hn,雷阵雨,东风5-6级,28,雷阵雨,东风6-7级,26
海南,南沙,周日(11月2日),hn,多云,西风4-5级,29,雷阵雨,西风4-5级,26
陕西,西安,周日(11月2日),xb,多云,东北风<3级,17,多云,东北风<3级,7
陕西,咸阳,周日(11月2日),xb,多云,东风<3级,16,多云,东风<3级,7
陕西,延安,周日(11月2日),xb,多云,南风<3级,16,小雨,南风<3级,1
陕西,榆林,周日(11月2日),xb,多云,东南风<3级,13,晴,南风<3级,0
陕西,渭南,周日(11月2日),xb,多云,东风<3级,16,多云,东风<3级,7
陕西,商洛,周日(11月2日),xb,阴,东南风<3级,19,阴,东南风<3级,4
陕西,安康,周日(11月2日),xb,阴,东风<3级,23,阴,东北风<3级,9
陕西,汉中,周日(11月2日),xb,多云,东南风<3级,20,多云,南风<3级,10
陕西,宝鸡,周日(11月2日),xb,多云,东北风<3级,16,多云,西南风<3级,8
陕西,铜川,周日(11月2日),xb,多云,南风<3级,14,晴,东北风<3级,5
陕西,杨凌,周日(11月2日),xb,多云,东风<3级,16,多云,西北风<3级,6
甘肃,兰州,周日(11月2日),xb,晴,北风<3级,16,多云,南风<3级,4
甘肃,定西,周日(11月2日),xb,阴,南风<3级,12,多云,南风<3级,2
甘肃,平凉,周日(11月2日),xb,小雨,东南风<3级,12,多云,西风<3级,4
甘肃,庆阳,周日(11月2日),xb,多云,南风<3级,12,小雨,南风<3级,4
甘肃,武威,周日(11月2日),xb,晴,东北风<3级,16,晴,南风<3级,1
甘肃,金昌,周日(11月2日),xb,晴,东北风<3级,16,晴,西南风<3级,0
甘肃,张掖,周日(11月2日),xb,晴,西北风<3级,18,晴,南风<3级,0
甘肃,酒泉,周日(11月2日),xb,晴,北风<3级,15,晴,西南风<3级,0
甘肃,天水,周日(11月2日),xb,阴,东风<3级,13,多云,东南风<3级,6
